D	JK-D	V(JK-D)	Z	pvalue	nABBA	nBABA	nBlocks	H1	H2	H3	H4
0.073754	0.073754	0.000007	28.677705	0.000000	1476095.311395	1273315.893961	461	kenya	namibia	tanzania	desert
0.024085	0.024085	0.000006	9.731936	0.000000	1356960.227592	1293132.303069	461	kenya	namibia	uganda	desert
0.193603	0.193603	0.000008	70.128910	0.000000	1659759.831019	1121331.572393	461	kenya	namibia	zambia	desert
0.245047	0.245047	0.000007	93.667309	0.000000	1766431.885408	1071103.465653	461	kenya	namibia	zimbabwe	desert
-0.014642	-0.014642	0.000004	-6.902713	0.000000	1026154.656163	1056651.472118	461	kenya	namibia	ghana	desert
0.125226	0.125226	0.000006	51.879452	0.000000	1476095.311395	1147546.395172	461	kenya	tanzania	namibia	desert
0.075704	0.075704	0.000004	35.706784	0.000000	1392204.509847	1196247.361360	461	kenya	tanzania	uganda	desert
0.125042	0.125042	0.000006	51.566738	0.000000	1476917.922512	1148614.798397	461	kenya	tanzania	zambia	desert
0.125103	0.125103	0.000005	53.549612	0.000000	1485696.464848	1155299.676782	461	kenya	tanzania	zimbabwe	desert
0.007749	0.007749	0.000003	4.834190	0.000001	1012616.578240	997042.887520	461	kenya	tanzania	ghana	desert
0.013293	0.013293	0.000010	4.180741	0.000029	1356960.227592	1321357.070371	461	kenya	uganda	namibia	desert
0.015186	0.015186	0.000010	4.917363	0.000001	1392204.509847	1350554.214890	461	kenya	uganda	tanzania	desert
0.013981	0.013981	0.000010	4.355794	0.000013	1357773.676964	1320331.404904	461	kenya	uganda	zambia	desert
0.013240	0.013240	0.000010	4.262786	0.000020	1366107.232971	1330406.136822	461	kenya	uganda	zimbabwe	desert
0.026339	0.026339	0.000003	16.068622	0.000000	1077920.993772	1022596.219919	461	kenya	uganda	ghana	desert
0.225907	0.225907	0.000009	76.911861	0.000000	1659759.831019	1048047.432179	461	kenya	zambia	namibia	desert
0.103773	0.103773	0.000008	37.563129	0.000000	1476917.922512	1199207.220743	461	kenya	zambia	tanzania	desert
0.054671	0.054671	0.000007	20.714021	0.000000	1357773.676964	1217006.653336	461	kenya	zambia	uganda	desert
0.227382	0.227382	0.000008	79.553626	0.000000	1672157.956150	1052598.685244	461	kenya	zambia	zimbabwe	desert
0.009872	0.009872	0.000005	4.458345	0.000008	1018587.820864	998674.192751	461	kenya	zambia	ghana	desert
0.271859	0.271859	0.000007	101.107172	0.000000	1766431.885408	1011285.428686	461	kenya	zimbabwe	namibia	desert
0.097893	0.097893	0.000007	37.759736	0.000000	1485696.464848	1220753.627548	461	kenya	zimbabwe	tanzania	desert
0.047858	0.047858	0.000006	19.637604	0.000000	1366107.232971	1241320.294640	461	kenya	zimbabwe	uganda	desert
0.220785	0.220785	0.000007	81.722024	0.000000	1672157.956150	1067320.979228	461	kenya	zimbabwe	zambia	desert
0.005204	0.005204	0.000004	2.645318	0.008161	1024826.237040	1014214.255518	461	kenya	zimbabwe	ghana	desert
-0.356132	-0.356132	0.000016	-88.653596	0.000000	1026154.656163	2161316.509913	461	kenya	ghana	namibia	desert
-0.375126	-0.375126	0.000016	-94.753895	0.000000	1012616.578240	2228412.159694	461	kenya	ghana	tanzania	desert
-0.321784	-0.321784	0.000017	-77.084687	0.000000	1077920.993772	2100773.082739	461	kenya	ghana	uganda	desert
-0.361552	-0.361552	0.000017	-88.009954	0.000000	1018587.820864	2172235.577673	461	kenya	ghana	zambia	desert
-0.360356	-0.360356	0.000016	-89.808287	0.000000	1024826.237040	2179540.673379	461	kenya	ghana	zimbabwe	desert
0.051952	0.051952	0.000003	32.849616	0.000000	1273315.893961	1147546.395172	461	namibia	tanzania	kenya	desert
0.053874	0.053874	0.000002	34.535156	0.000000	1336317.158626	1199691.519205	461	namibia	tanzania	uganda	desert
-0.080851	-0.080851	0.000004	-40.089358	0.000000	1211415.847308	1424534.422316	461	namibia	tanzania	zambia	desert
-0.136754	-0.136754	0.000003	-75.355285	0.000000	1171858.007600	1543144.317254	461	namibia	tanzania	zimbabwe	desert
0.024242	0.024242	0.000003	14.674264	0.000000	1003628.883209	956120.358541	461	namibia	tanzania	ghana	desert
-0.010796	-0.010796	0.000007	-4.154225	0.000033	1293132.303069	1321357.070371	461	namibia	uganda	kenya	desert
-0.056739	-0.056739	0.000008	-19.886806	0.000000	1336317.158626	1497081.166771	461	namibia	uganda	tanzania	desert
-0.179634	-0.179634	0.000009	-60.744789	0.000000	1158073.119168	1665233.741736	461	namibia	uganda	zambia	desert
-0.229667	-0.229667	0.000007	-84.390735	0.000000	1123911.321689	1794076.213741	461	namibia	uganda	zimbabwe	desert
0.041956	0.041956	0.000003	23.644526	0.000000	1113940.833959	1024231.213556	461	namibia	uganda	ghana	desert
0.033781	0.033781	0.000004	16.462873	0.000000	1121331.572393	1048047.432179	461	namibia	zambia	kenya	desert
